Sheet	#	Category	Answer
Business Req	1.0	Core Observability
Business Req	1.1	Core Observability	Akka instruments on-prem GenAI systems at two layers that exceed what pure-observability tools (Arize, LangSmith, Datadog) can deliver. The first is a runtime evidence journal unique to Akka: every coordination boundary in an agentic system — agent-to-agent call, tool invocation, LLM call, human-in-the-loop gate, policy evaluation, halt, override — is captured as an immutable, non-sampled, hash-chained event by the Akka runtime itself. Because the runtime executes through these boundaries, the runtime is the witness; logs are not produced by an instrumentation layer that an agent could bypass or under-emit. Each event carries an authority snapshot (who was authorized to do what at that moment), the effective prompt, the model and policy versions in force, and a SHA-256 link to the prior event. This is the substrate for EU AI Act Article 12 record-keeping and SR 11-7 audit trails. The second layer is standard OpenTelemetry telemetry — distributed traces, RED metrics, and structured logs — covering operational observability and exporting to Splunk HEC, Azure Monitor, Prometheus, Google Cloud Logging, or any OTLP backend. No data leaves PNC's environment unless explicitly routed. The Akka Console provides a unified real-time UI; nothing in the L1 evidence path requires customer-side instrumentation work — it ships on by default.
Business Req	1.2	Core Observability	Yes, and Akka goes further than per-agent spans. In multi-agent coordination, a single OpenTelemetry trace is insufficient because agents run in parallel (collaborative/voting), delegate (delegative), or dynamically choose partners (emergent) — a single timeline cannot reconstruct which agent's output drove the decision or whether a delegated agent stayed in scope. Akka provides per-agent OpenTelemetry spans with latency, payload size, error state, and token usage — what every observability tool offers — plus four capabilities that bolt-on tools cannot match: a Coordination Explorer with an interactive timeline auto-grouped by coordination pattern (sequential, delegative, collaborative-voting, emergent) with type pills for HITL gates, policy evaluations, tool calls, and delegations; an Authority Chain Auditor that reconstructs the Human → Workflow → Agent → Policy → LLM Call → Output chain for any execution with hash-chain integrity verified at every link; a Conflict and Consensus Matrix that shows, for voting patterns, each agent's position, reasoning, and how consensus was reached (unanimous, majority, dissent, tiebreaker); and a scope-compliance check logged on every delegation with pass/fail and violation details if a child agent exceeded delegated authority. This is the difference between observing what each agent did and proving who was authorized to do it and whether they stayed in bounds — the latter is what bank regulators (OCC, SR 11-7) actually ask for.
Business Req	1.3	Core Observability	Yes, and identical capability across dev, staging, and production is non-negotiable for SR 11-7 model validation, where independent test results must be defensible against the same evidence machinery as production. Akka deployments are environment-scoped — separate clusters per environment — but every environment runs the same runtime, the same L1 evidence journal, the same policy gate, and the same observability surface. A model validated against the L1 record in staging produces evidence in the identical schema as production, with no gap between dev results and production logs. Policy bundles can be deployed in dry-run or log-only mode in lower environments and then promoted with confidence. Pre-production scenario simulation exercises the same governance gates that will apply in production. There is no capability gap and no instrumentation drift between environments.
Business Req	1.4	Core Observability	Yes, and the historical retention model is regulatory-grade, not just a SIEM-keeps-logs arrangement. Real-time: the Akka Console streams metrics and logs live, and webhook and OpenTelemetry exports flow into Splunk, Azure Monitor, PagerDuty, and Teams in seconds. Historical L1 (runtime evidence): an append-only event-sourced store with automatic tier aging — Full fidelity (full chain-of-thought, every tool input/output, context snapshots) for 30 days for hot-path investigation; Condensed (reasoning step titles, decision-affecting input/output, key moments) for 1 year for pattern detection; Abstract (outcome, score, one-line rationale) for 5 years for long-term posture; and Cold Archive (compressed full-fidelity blob) for 10 years for regulatory audit-of-the-audit. L1 boundary events themselves never tier — they are immutable and retained per jurisdiction floor (EU AI Act Article 26 at least 6 months; DORA at least 5 years for financial entities; SR 11-7 technical documentation at 10 years). Historical operational telemetry retention is governed by PNC's chosen backend. Retention is jurisdiction-aware: a record tagged with an OCC jurisdiction tag automatically follows OCC retention floors regardless of operator configuration.
Business Req	1.5	Core Observability	Yes. Every MCP connector invocation is captured as a coordination boundary event in the L1 journal, recording the connector identity and version, the target context (vector store endpoint ID, tool URL, database identifier, knowledge-source ID), the full request and response payloads (subject to PII redaction at export time, never at write time, because L1 is immutable), latency and error state, the authority snapshot at invocation (which agent invoked it, with what scope, under which policy version), and the delegated scope check (was this connector authorized for this caller). This matters more than tracing alone: when a regulator asks which vector store grounded a specific loan decision and whether the agent was authorized to query it, Akka answers from the immutable L1 record, not from sampled traces that may have been dropped.
Business Req	2.0	Usage & Accuracy
Business Req	2.1	Usage & Accuracy	Yes, instrumented at all three layers with shared trace and execution IDs for correlation. Agent invocations are captured as per-agent spans with latency, input/output size, error state, and scope-compliance result. Workflow steps are captured as transition events with branching decisions, end-to-end durability via event sourcing — workflows survive process restart and region failover with sub-1-minute RTO and zero-byte RPO. Model calls are captured with prompt, completion, token counts (input, output, total), model version, provider, and latency. What sets this apart from APM and OpenTelemetry-only tools is that the workflow layer is durable execution native, not a Temporal-style external orchestrator. Workflow state is the same event-sourced journal that produces the L1 evidence, so a workflow audit and a compliance audit are reads against the same record, not a join across two systems.
Business Req	2.2	Usage & Accuracy	Yes. Akka's evaluation framework runs on every output and produces evidence that is itself part of the L1 record. Configurable evaluation criteria include accuracy, factual consistency (confabulation detection per NIST AI 600-1), relevance, safety, format compliance, and fair-lending fairness checks. Evaluation results are logged alongside the originating request with the same execution ID, so a regulator querying a denied loan sees the model output and the evaluation that scored it, hash-chained together. A composite Trust and Safety Score (0–100) is computed per execution combining model confidence, scope adherence, HITL engagement quality, data freshness, policy alignment, and regulatory coverage; compliance officers use this to prioritize which decisions to manually review. Drift detection runs on rolling baselines for confabulation rate, evaluation pass rate, and HITL override rate, and drift triggers a fairness review event that downstream policies can require for continued operation (SR 11-7 cadence enforcement). The competitive distinction: LangSmith and Arize evaluate, but they do not gate. Akka can deny continued operation when evaluation thresholds are breached.
Business Req	2.3	Usage & Accuracy	Akka exposes standard OpenTelemetry metrics — request latency (p50/p95/p99), error rate by service and endpoint, throughput (requests per second), active actor counts, JVM resource utilization (CPU, heap, GC), and token consumption per model call — plus two non-standard categories relevant for AI economics and governance. AI-economic metrics include token spend by agent, workflow, model, and customer (a FinOps view) and cache hit rate on durable memory (Akka's sub-10ms memory versus the 200ms latency of bolt-on stores reduces redundant LLM calls). Governance metrics include policy evaluation pass/fail rate, HITL review duration distribution, rubber-stamping rate (HITL approvals completing under threshold for risk tier), scope-violation rate, and override frequency. A reference catalog is published at doc.akka.io. The governance metrics are the ones PNC's CRO and InfoSec teams will care about, and no APM-derived tool emits them.
